TotalReimbursement,0.1546072953435774
TotalDeductible,0.10218795900737378
TotalHospitalDays,0.08524448010132228
MaxClaimAmt,0.05604720264170241
MaxDiagCodes,0.04677279879071117
InpatientClaims,0.04653645166654232
AvgUniqueProcCodes,0.036061292554011797
ReimbPerBeneficiary,0.03572410243686642
TotalClaims,0.03225963978257945
AvgNumProcCodes,0.02779358101763459
StdClaimAmt,0.026846383909674944
UniqueBeneficiaries,0.02582490817522487
OutpatientClaims,0.024443958070220758
ClaimsPerBeneficiary,0.022468867766588477
PeakMonthClaims,0.021888230086036502
AvgHospitalStay,0.02079438870182381
RepeatPatientRatio,0.01881431797831996
DeductibleRatio,0.01817832776632659
ClaimsPerPhysician,0.017062588551712554
InpatientRatio,0.015944471473900303
ReimbursementPerClaim,0.014902305533031629
AvgDeductible,0.014870527209272304
AvgClaimDuration,0.01290526225684812
RenalDiseaseRatio,0.01228469875573789
AvgIPReimb,0.011000701361878995
AvgClaimAmt,0.010941949190104947
AvgIPDeductible,0.010471282842916525
PhysicianConcentration,0.010453423136478089
AvgChronicCondCount,0.010444843703928978
HighCostClaimRatio,0.010133035321478941
AvgUniqueDiagCodes,0.010056711417609792
AvgNumDiagCodes,0.00999156794062853
Avg_ChronicCond_KidneyDisease,0.009215434096899058
PctHighChronicCond,0.008506754858012187
Avg_ChronicCond_stroke,0.008320256553023635
