Model,ROC_AUC_CV,ROC_AUC_Holdout,PR_AUC_CV,F1_CV,F1_Holdout,Precision_CV,Precision_Holdout,Recall_CV,Recall_Holdout,Accuracy_CV,Accuracy_Holdout
Stacking Ensemble F1-Optimal ⭐,0.9345,0.9579,0.6822,0.6332,0.6441,0.5645,0.5672,0.7209,0.7451,0.9220,0.9224
Stacking Ensemble F2-Optimal,0.9345,0.9579,0.6822,0.5576,0.5476,0.4097,0.3932,0.8725,0.9020,0.8706,0.8595
Random Forest (300),0.9352,,0.6615,0.5679,,0.4259,,0.8518,,0.8787,
XGBoost (Optuna),0.9296,,0.6738,0.5736,,0.4399,,0.8241,,0.8854,
Logistic Regression,0.8940,,0.6630,0.5799,,0.4586,,0.7885,,0.8932,
